AB374544	Psychromonas agarivorans
AB365352	Psychromonas heitensis
AB094413	Psychromonas hadalis
AJ416756	Psychromonas profunda
AB052160	Psychromonas kaikoae
AB023378	Psychromonas marina
AF374385	Psychromonas arctica
KX645876	Psychromonas aquatilis
AB304805	Psychromonas aquimarina
AB304806	Psychromonas macrocephali
AB304808	Psychromonas ossibalaenae
AB304804	Psychromonas japonica
FJ822615	Psychromonas boydii
U73721	Psychromonas ingrahamii
Y14697	Psychromonas antarctica
Z25522	Pseudoalteromonas tunicata
AF172987	Pseudoalteromonas ulvae
AB090232	Pseudoalteromonas piscicida
AF144036	Pseudoalteromonas maricaloris
AF297958	Pseudoalteromonas flavipulchra
AF007286	Pseudoalteromonas peptidolytica
X82147	Pseudoalteromonas rubra
X82135	Pseudoalteromonas aurantia
X82137	Pseudoalteromonas citrea
X82138	Pseudoalteromonas denitrificans
AF332880	Pseudoalteromonas phenolica
AY769918	Pseudoalteromonas spongiae
X82144	Pseudoalteromonas luteoviolacea
KR709258	Pseudoalteromonas fenneropenaei
JN188399	Pseudoalteromonas xiamenensis
DQ011289	Pseudoalteromonas byunsanensis
KT366926	Pseudoalteromonas aestuariivivens
KT900238	Pseudoalteromonas profundi
AB576636	Pseudoalteromonas arabiensis
AB720724	Pseudoalteromonas shioyasakiensis
AF316891	Pseudoalteromonas ruthenica
KT377064	Pseudoalteromonas gelatinilytica
FJ404721	Pseudoalteromonas lipolytica
X98336	Pseudoalteromonas antarctica
AY040230	Pseudoalteromonas translucida
AF529062	Pseudoalteromonas fuliginea
AY387858	Pseudoalteromonas aliena
AY563031	Pseudoalteromonas marina
X82140	Pseudoalteromonas undina
X67024	Pseudoalteromonas haloplanktis
X82146	Pseudoalteromonas nigrifaciens
DQ787199	Pseudoalteromonas arctica
AF082562	Pseudoalteromonas elyakovii
AY040229	Pseudoalteromonas paragorgicola
AF082564	Pseudoalteromonas distincta
AJ417594	Pseudoalteromonas agarivorans
X82134	Pseudoalteromonas atlantica
X82143	Pseudoalteromonas espejiana
X82136	Pseudoalteromonas carrageenovora
AF316144	Pseudoalteromonas issachenkonii
AF214730	Pseudoalteromonas tetraodonis
U85855	Pseudoalteromonas prydzensis
KU716039	Pseudoalteromonas neustonica
AJ507251	Pseudoalteromonas mariniglutinosa
FJ754319	Pseudoalteromonas donghaensis
JX854537	Psychrosphaera aestuarii
EU930871	Psychrosphaera haliotis
AB545807	Psychrosphaera saromensis
AJ252022	Moritella abyssi
EF192283	Moritella dasanensis
AJ252023	Moritella profunda
AJ132226	Moritella viscosa
AB008797	Moritella yayanosii
D21224	Moritella japonica
AB038033	Moritella marina
AB364966	Paramoritella alkaliphila
JQ672626	Paramoritella sediminis
AY579751	Shewanella halifaxensis
CP000851	Shewanella pealeana
AB081757	Shewanella marinintestina
AB081762	Shewanella sairae
AB204519	Shewanella pneumatophori
AF420312	Shewanella fidelis
AB081760	Shewanella schlegeliana
